"day","year","month","date","time","address","district","accident_types","suspect_vehicle","victim_vehicle"
"Wednesday","2018","8","1","20:00","perintis kemerdekaan","biringkanaya","OC","R2","NOV"
"Wednesday","2018","8","1","11:00","batua raya","manggala","TL","R2","R2"
"Wednesday","2018","8","2","16:30","pettarani","rappocini","TM","R2","NOV"
"Thursday","2018","8","2","3:00","daeng tata raya iii","tamalate","TM","R4","NOV"
"Thursday","2018","8","2","13:00","urip sumuharjo","makassar","TL","R2","R2"
"Thursday","2018","7","31","16:00","cendrawasih","mamajang","TL","R4","R2"
"Tuesday","2018","8","1","15:30","boulevard","panakkukang","TL","R2","R2"
"Wednesday","2018","7","21","23:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Saturday","2018","8","3","13:30","pengayoman","panakkukang","TB","R2","R2"
"Friday","2018","7","6","8:35","sungai saddang","ujung pandang","TL","R2","R2"
"Friday","2018","8","2","11:00","andi mappanyukki","mariso","TK","R4","R2"
"Thursday","2018","8","4","12:00","tol reformasi","tallo","TK","R4","TR"
"Saturday","2018","8","5","18:00","karunrung raya","rappocini","TM","R2","NOV"
"Sunday","2018","8","3","21:00","kapasa raya","tamalanrea","TK","R2","TR"
"Friday","2018","8","4","16:30","veteran selatan","makassar","TM","R2","NOV"
"Saturday","2018","8","6","9:45","andi tadde","tallo","OC","R4","NOV"
"Monday","2018","8","4","16:30","jenderal ahmad yani","ujung pandang","TK","R2","R2"
"Saturday","2018","8","3","11:30","chairil anwar","ujung pandang","OC","R2","NOV"
"Friday","2018","8","6","6:30","kapasa raya","tamalanrea","OC","R2","NOV"
"Monday","2018","8","5","19:30","perintis kemerdekaan","tamalanrea","TK","R2","R2"
"Sunday","2018","8","2","18:00","batua raya xii","manggala","OC","R2","NOV"
"Thursday","2018","8","5","14:30","abdullah daeng sirua","panakkukang","TL","R2","R2"
"Sunday","2018","8","7","19:30","sungai saddang baru","makassar","TK","R2","R4"
"Tuesday","2018","8","7","9:00","jenderal ahmad yani","ujung pandang","TB","R4","R2"
"Tuesday","2018","8","6","16:00","raya kampus unhas","tamalanrea","TK","R4","R2"
"Monday","2018","8","6","17:00","paccerakkang","biringkanaya","TK","R2","R4"
"Monday","2018","8","7","5:30","manyikkoaya","biringkanaya","TB","R2","R2"
"Tuesday","2018","8","8","18:30","urip sumuharjo","panakkukang","TK","R4","R4"
"Wednesday","2018","8","7","15:20","daeng tata raya","tamalate","TK","R2","R2"
"Tuesday","2018","8","8","16:00","pajaiang","biringkanaya","OC","R2","NOV"
"Wednesday","2018","8","8","17:45","pintu bandar udara internasional sultan hasanuddin","biringkanaya","TL","R4","R2"
"Wednesday","2018","8","7","15:30","paccerakkang","biringkanaya","TL","R2","NOV"
"Tuesday","2018","8","7","10:00","metro tanjung bunga","mariso","TM","R2","NOV"
"Tuesday","2018","8","8","16:30","daeng tata raya i","tamalate","TM","R4","NOV"
"Wednesday","2018","8","9","7:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Thursday","2018","8","9","7:30","pajaiang","biringkanaya","OC","R2","NOV"
"Thursday","2018","8","7","6:10","mesjid raya","bontoala","OC","R2","NOV"
"Tuesday","2018","8","9","12:00","nipa nipa","manggala","OC","R2","NOV"
"Thursday","2018","8","9","18:30","cendrawasih","mamajang","TM","R2","NOV"
"Thursday","2018","7","17","19:00","muhammad yamin","makassar","TM","R2","NOV"
"Tuesday","2018","8","8","22:00","sam ratulangi","mamajang","TL","R2","R2"
"Wednesday","2018","8","8","21:00","gunung merapi","ujung pandang","TL","R4","R2"
"Wednesday","2018","8","10","11:00","veteran selatan","makassar","TL","R2","NOV"
"Friday","2018","8","11","20:00","barawaja","panakkukang","OC","R2","NOV"
"Saturday","2019","8","10","14:00","jipang raya","rappocini","TK","R2","R2"
"Saturday","2019","8","10","18:00","insinyur sutami","tamalanrea","T","R2","NOV"
"Saturday","2018","8","10","13:30","paccerakkang","biringkanaya","T","R2","NOV"
"Friday","2018","8","1","22:30","goa ria","biringkanaya","T","R2","NOV"
"Wednesday","2018","8","12","14:03","mutiara boulevard","biringkanaya","TL","R2","R2"
"Sunday","2018","8","11","20:15","gunung bawakaraeng","makassar","OC","R2","NOV"
"Saturday","2018","8","12","12:30","banta bantaeng","mamajang","TL","R2","R2"
"Sunday","2018","8","6","17:30","veteran utara","makassar","TK","R2","R2"
"Monday","2018","8","12","15:00","kuta cane selatan","manggala","OC","R2","NOV"
"Sunday","2018","8","13","12:00","tamalanrea raya","tamalanrea","OC","R2","NOV"
"Monday","2018","8","12","19:00","borong raya","manggala","OC","R2","NOV"
"Sunday","2018","8","12","15:30","urip sumuharjo","panakkukang","TL","R4","R2"
"Sunday","2018","8","12","9:15","urip sumuharjo","panakkukang","TL","R2","R2"
"Sunday","2018","8","13","11:00","kapasa raya","biringkanaya","TK","R2","R4"
"Monday","2018","8","13","16:30","goa ria","biringkanaya","TL","R2","Rro"
"Monday","2018","8","13","17:30","perintis kemerdekaan","biringkanaya","TK","R2","R4"
"Monday","2018","8","14","11:00","pettarani","panakkukang","TK","R4","R4"
"Tuesday","2018","8","11","8:00","perumnas raya","manggala","TL","R2","R2"
"Saturday","2018","8","14","8:30","nuri baru","mariso","TL","R4","R2"
"Tuesday","2018","8","12","19:00","tamangapa raya","manggala","TK","R2","TR"
"Sunday","2018","8","15","4:00","sungai saddang baru","makassar","TL","R4","R2"
"Wednesday","2018","8","10","22:00","sam ratulangi","mamajang","TL","R2","R3"
"Friday","2018","8","13","14:30","mapala","rappocini","TL","R2","R2"
"Monday","2018","8","14","10:00","urip sumuharjo","panakkukang","TL","R4","R2"
"Tuesday","2018","8","14","14:30","abu bakar lambogo","makassar","TL","B2","R2"
"Tuesday","2018","8","14","23:30","tala' salapang","rappocini","TK","R2","R4"
"Tuesday","2018","8","14","8:00","cendrawasih","mamajang","T","R2","NOV"
"Tuesday","2018","8","14","10:00","andalas","bontoala","T","R2","NOV"
"Tuesday","2018","8","15","6:45","urip sumuharjo","panakkukang","T","R2","NOV"
"Wednesday","2018","8","15","8:30","perintis kemerdekaan","tamalanrea","T","R2","NOV"
"Wednesday","2018","8","4","18:30","insinyur sutami","tamalanrea","TL","R2","R2"
"Saturday","2018","8","15","22:45","manuruki raya","tamalate","TL","R2","Rro"
"Wednesday","2018","8","15","16:30","perintis kemerdekaan","biringkanaya","TL","R4","R2"
"Wednesday","2018","8","16","4:45","lanraki","biringkanaya","TL","R2","NOV"
"Thursday","2018","8","15","18:30","pettarani","panakkukang","TM","B","NOV"
"Wednesday","2018","8","15","21:00","urip sumuharjo","panakkukang","TK","TR","R2"
"Wednesday","2018","8","16","9:30","urip sumuharjo","panakkukang","TK","R2","R4"
"Thursday","2018","8","17","4:00","sultan alauddin","rappocini","TK","R4","R2"
"Friday","2018","8","18","0:30","urip sumuharjo","panakkukang","OC","R2","NOV"
"Saturday","2018","8","14","3:00","sungai saddang baru","makassar","TK","R2","R4"
"Tuesday","2018","8","9","21:00","sungai saddang","makassar","TB","R4","R4"
"Thursday","2018","8","18","14:30","perintis kemerdekaan","tamalanrea","TL","R2","R2"
"Saturday","2018","8","19","22:30","pengayoman","panakkukang","TL","R2","R4"
"Sunday","2018","8","17","2:30","cendrawasih","mamajang","TK","R2","R2"
"Friday","2018","8","18","10:30","sam ratulangi","ujung pandang","OC","R2","NOV"
"Saturday","2018","8","19","10:00","toddopuli raya","panakkukang","TK","R4","R4"
"Sunday","2018","8","18","22:30","urip sumuharjo","panakkukang","TL","R4","R2"
"Saturday","2018","8","18","6:00","dokter leimena","panakkukang","OC","R2","NOV"
"Saturday","2018","8","18","23:30","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Saturday","2018","8","16","6:45","metro tanjung bunga","mariso","TL","R4","R2"
"Thursday","2018","8","15","9:00","kapasa raya","biringkanaya","TL","R2","R2"
"Wednesday","2018","8","20","9:18","tanjung bunga","tamalate","OC","R2","NOV"
"Monday","2018","8","20","10:00","kartini","ujung pandang","TL","R2","R2"
"Monday","2018","8","19","18:30","rappocini raya","rappocini","OC","R2","NOV"
"Sunday","2018","8","21","0:30","pajukukang","tamalate","TB","R4","R4"
"Tuesday","2018","8","20","17:40","pongtiku","bontoala","TB","R4","R2"
"Monday","2018","8","16","12:00","sam ratulangi","mariso","TK","R2","R4"
"Thursday","2018","8","20","17:00","onta lama","mamajang","TL","R4","R2"
"Monday","2018","8","20","20:20","pettarani","panakkukang","TK","R4","R2"
"Monday","2018","8","14","23:30","batua raya","panakkukang","TL","B2","R2"
"Tuesday","2018","8","19","3:40","perintis kemerdekaan","biringkanaya","T","R2","NOV"
"Sunday","2018","8","21","10:30","mangga iii","biringkanaya","T","R2","NOV"
"Tuesday","2018","8","21","3:30","ujung pandang","ujung pandang","TM","M","NOV"
"Tuesday","2018","8","20","22:00","sultan hasanuddin","ujung pandang","TL","R4","R2"
"Monday","2018","8","20","21:30","gontang raya","tamalate","T","R2","NOV"
"Monday","2018","8","22","9:40","pengayoman","panakkukang","TL","R2","R2"
"Wednesday","2018","8","21","13:14","abu bakar lambogo","makassar","TM","R2","NOV"
"Tuesday","2018","8","22","16:30","perintis kemerdekaan","tamalanrea","TL","R4","NOV"
"Wednesday","2018","8","21","21:30","poros asrama haji","biringkanaya","TK","R2","R2"
"Tuesday","2018","8","22","9:30","urip sumuharjo","panakkukang","TL","R2","NOV"
"Wednesday","2018","8","16","16:00","ujung bor","manggala","OC","R2","NOV"
"Thursday","2018","8","22","14:30","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Wednesday","2018","8","22","2:10","perintis kemerdekaan","tamalanrea","TK","R2","M"
"Wednesday","2018","8","20","19:45","pettarani","tamalate","T","R2","NOV"
"Monday","2018","8","21","14:00","taman makam pahlawan","panakkukang","OC","R2","NOV"
"Tuesday","2018","8","21","20:20","aroepala","rappocini","TK","R2","R4"
"Tuesday","2018","8","23","11:00","kakatua","mariso","TL","R2","R2"
"Thursday","2018","8","21","14:00","mesjid raya","bontoala","TK","R2","R2"
"Tuesday","2018","8","18","14:00","pajukukang","tamalate","OC","R2","NOV"
"Saturday","2018","8","23","17:45","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Thursday","2018","8","21","17:10","letjen hertasning","panakkukang","TL","R4","R4"
"Tuesday","2018","8","23","21:00","sultan alauddin","tamalate","TL","R2","R2"
"Thursday","2018","8","23","8:00","perintis kemerdekaan","tamalanrea","TM","R2","NOV"
"Thursday","2018","8","20","0:30","andi tonro","tamalate","T","R2","NOV"
"Monday","2018","8","25","12:30","abu bakar lambogo","makassar","T","R2","NOV"
"Saturday","2018","8","24","23:00","sunu","tallo","TK","R2","R4"
"Friday","2018","8","26","8:10","jenderal sudirman","ujung pandang","TK","R4","R2"
"Sunday","2018","8","26","12:00","jenderal sudirman","ujung pandang","TK","R2","R2"
"Sunday","2018","8","25","14:00","urip sumuharjo","makassar","TK","R2","B1"
"Saturday","2018","8","27","20:00","profesor abdurrahman basalamah","panakkukang","OC","R2","NOV"
"Monday","2018","8","24","7:00","jenderal sudirman","ujung pandang","TK","R2","R4"
"Friday","2018","7","26","19:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Thursday","2018","8","27","15:30","katimbang","biringkanaya","TK","R2","R2"
"Monday","2018","8","26","16:30","urip sumuharjo","panakkukang","TM","R2","NOV"
"Sunday","2018","8","27","16:00","monginsidi","makassar","TM","R2","NOV"
"Monday","2018","8","25","8:00","abdullah daeng sirua","makassar","TL","R2","R2"
"Saturday","2018","8","28","3:00","urip sumuharjo","panakkukang","TK","R2","R2"
"Tuesday","2018","8","28","7:30","sultan alauddin","rappocini","TM","R2","NOV"
"Tuesday","2018","8","28","20:15","pengayoman","panakkukang","TK","R2","R2"
"Tuesday","2018","8","29","15:30","ks. tubun","mariso","TK","R2","R2"
"Wednesday","2018","8","29","13:30","perintis kemerdekaan","biringkanaya","TK","R2","R2"
"Wednesday","2018","8","27","17:00","pengayoman","panakkukang","TK","R2","R4"
"Monday","2018","8","30","12:30","profesor abdurrahman basalamah ii","panakkukang","TM","R4","NOV"
"Thursday","2018","8","29","11:00","gunung latimojong","makassar","TK","R2","R4"
"Wednesday","2019","8","27","17:50","perintis kemerdekaan","tamalanrea","TL","R4","R2"
"Tuesday","2018","8","31","0:20","tamalanrea raya","tamalanrea","TK","R2","R4"
"Friday","2018","8","28","15:00","a.r. hakim","tallo","TK","R2","TR"
"Tuesday","2018","8","30","13:00","skarda","rappocini","TM","R4","NOV"
"Thursday","2018","9","1","17:40","urip sumuharjo","panakkukang","TL","R4","R2"
"Saturday","2018","9","1","19:30","cendrawasih","mamajang","TK","R2","R2"
"Saturday","2018","9","3","4:45","urip sumuharjo","panakkukang","TL","R2","R2"
"Monday","2018","9","1","6:20","mesjid raya","bontoala","TL","R4","R2"
"Saturday","2018","9","2","15:30","botolempangan","ujung pandang","TK","R4","R2"
"Sunday","2018","9","2","23:45","muhammad yamin","makassar","TL","R2","R2"
"Sunday","2018","8","31","16:00","perintis kemerdekaan","biringkanaya","TK","R2","R2"
"Friday","2018","9","1","16:00","paccerakkang","biringkanaya","TK","R4","R4"
"Saturday","2018","9","1","16:30","pajaiang","biringkanaya","TM","R4","NOV"
"Saturday","2018","9","2","12:05","perintis kemerdekaan","tamalanrea","TL","R2","NOV"
"Sunday","2018","9","2","12:30","manuruki","biringkanaya","TL","R4","R4"
"Sunday","2018","7","22","22:20","perintis kemerdekaan","tamalanrea","TK","R2","R4"
"Sunday","2018","9","3","22:00","kapasa raya","tamalanrea","TL","R4","R2"
"Monday","2018","9","1","7:00","sungai saddang baru","makassar","TL","R2","R2"
"Saturday","2018","9","3","10:00","perjanjian bungaya","tamalate","TK","R4","R2"
"Monday","2018","9","4","23:45","jenderal sudirman","ujung pandang","TK","R4","R4"
"Tuesday","2018","9","2","7:00","arief rate","ujung pandang","TK","R4","R2"
"Sunday","2018","8","31","7:00","pettarani","panakkukang","TL","R2","R2"
"Friday","2018","9","4","14:30","sultan alauddin","tamalate","TM","R2","NOV"
"Tuesday","2018","9","5","10:00","sultan alauddin","tamalate","TK","R2","R4"
"Wednesday","2018","8","24","12:30","cendrawasih","mamajang","TM","R2","NOV"
"Friday","2018","8","28","6:30","insinyur sutami","tamalanrea","TK","TR","R4"
"Tuesday","2018","9","6","14:00","insinyur sutami","tamalanrea","OC","R2","R2"
"Thursday","2018","9","1","11:00","tamangapa raya","manggala","TK","R2","TR"
"Saturday","2018","9","7","12:30","baji dakka ii","tamalate","TK","R4","R4"
"Friday","2018","9","7","22:00","tupai","mamajang","TL","R4","R4"
"Friday","2018","9","8","1:50","sungai saddang baru","makassar","TL","R4","R2"
"Saturday","2018","9","9","8:00","kapasa raya","tamalanrea","TK","R2","R2"
"Sunday","2018","9","8","14:30","rajawali","mariso","TM","R4","NOV"
"Saturday","2018","9","7","16:30","pettarani","panakkukang","TL","M","R4"
"Friday","2018","9","7","10:30","sultan alauddin","rappocini","TM","R2","NOV"
"Friday","2018","9","9","3:00","borong raya","manggala","TM","R2","NOV"
"Sunday","2018","9","9","21:30","tamangapa raya","manggala","OC","R4","NOV"
"Sunday","2018","9","1","8:30","perintis kemerdekaan","biringkanaya","TL","R4","R2"
"Saturday","2018","9","9","18:30","sungai saddang","makassar","TK","R4","R2"
"Sunday","2018","9","11","1:49","urip sumuharjo","panakkukang","TK","R2","R2"
"Tuesday","2018","9","10","20:30","onta lama","mamajang","TK","R4","R2"
"Monday","2018","9","10","16:29","cendrawasih","mariso","TK","R2","R4"
"Monday","2018","9","10","13:20","haji bau","mariso","TK","R4","R2"
"Monday","2018","9","11","1:30","pongtiku","bontoala","TL","R2","NOV"
"Tuesday","2018","9","10","11:00","perintis kemerdekaan","tamalanrea","TK","R4","R2"
"Monday","2018","9","10","22:00","kima iii","tamalanrea","OC","R2","NOV"
"Monday","2018","9","8","13:00","malengkeri","tamalate","OC","R2","NOV"
"Saturday","2018","9","12","8:30","pettarani","panakkukang","TL","R2","NOV"
"Wednesday","2018","9","12","8:00","saripah raya","panakkukang","TL","R2","NOV"
"Wednesday","2018","9","9","17:00","perintis kemerdekaan","biringkanaya","TK","R2","R2"
"Sunday","2018","9","13","9:45","cendrawasih","mariso","TL","R2","R2"
"Thursday","2018","9","13","21:15","manuruki raya","tamalate","TK","R2","Rro"
"Thursday","2018","9","11","17:45","sunu","bontoala","TL","R4","R4"
"Tuesday","2018","9","12","19:45","andi tonro iv","tamalate","TL","R2","NOV"
"Wednesday","2018","9","12","7:00","urip sumuharjo","makassar","TL","R2","NOV"
"Wednesday","2018","9","7","1:00","sultan alauddin","rappocini","OC","R2","NOV"
"Friday","2018","9","15","1:00","veteran utara","makassar","TK","R2","R4"
"Saturday","2018","9","13","14:00","penghibur","ujung pandang","TM","R2","NOV"
"Thursday","2018","9","14","7:00","aroepala","rappocini","TK","R2","R2"
"Friday","2018","9","15","9:45","mutiara boulevard","biringkanaya","OC","R2","NOV"
"Saturday","2018","9","15","21:30","urip sumuharjo","panakkukang","TK","R2","R4"
"Saturday","2018","9","15","13:30","cendrawasih","mamajang","TL","R2","R2"
"Saturday","2018","9","16","19:15","sam ratulangi","mamajang","TK","R2","R2"
"Sunday","2018","9","6","16:00","perjanjian bungaya","tamalate","TK","R2","R2"
"Thursday","2018","9","15","9:40","perintis kemerdekaan","biringkanaya","TK","R2","R4"
"Saturday","2018","9","16","22:30","perintis kemerdekaan","tamalanrea","TK","R2","R2"
"Sunday","2018","9","14","14:30","sungai saddang baru","makassar","TK","R2","R2"
"Friday","2018","9","15","22:30","urip sumuharjo","panakkukang","TK","TR","R2"
"Saturday","2018","9","16","21:30","laikang","biringkanaya","TK","R2","R2"
"Sunday","2018","9","12","20:00","andi mappaodang","tamalate","OC","R2","NOV"
"Wednesday","2018","9","15","23:00","cendrawasih","mamajang","TM","R2","NOV"
"Saturday","2018","9","17","9:00","mapala i","rappocini","TK","R2","R2"
"Monday","2018","9","17","9:00","andi djemma","rappocini","TK","R2","R2"
"Monday","2018","9","19","6:30","letjen hertasning","rappocini","TL","R2","R2"
"Wednesday","2018","9","20","1:30","gunung bawakaraeng","bontoala","TL","R4","R2"
"Thursday","2018","9","17","16:45","haji bau","ujung pandang","TB","R2","R4"
"Monday","2018","9","19","7:30","veteran selatan","mamajang","TK","R2","Rro"
"Wednesday","2018","9","18","4:00","sultan hasanuddin","ujung pandang","TL","R2","NOV"
"Tuesday","2018","9","18","17:00","perintis kemerdekaan iii","tamalanrea","TK","R2","R2"
"Tuesday","2018","9","19","13:00","insinyur sutami","biringkanaya","OC","R2","NOV"
"Wednesday","2018","9","20","15:00","perintis kemerdekaan","biringkanaya","TK","R2","M"
"Thursday","2018","9","18","8:00","manunggal","tamalate","TM","R4","NOV"
"Tuesday","2018","9","16","16:30","urip sumuharjo","panakkukang","OC","R2","NOV"
"Sunday","2018","9","21","6:30","amd","manggala","TK","R2","R2"
"Friday","2018","9","20","23:00","inspeksi kanal","rappocini","TK","R2","R2"
"Thursday","2018","9","22","21:15","abdullah daeng sirua","panakkukang","TK","R2","R2"
"Saturday","2018","9","22","0:20","urip sumuharjo","panakkukang","TK","R2","R2"
"Saturday","2018","9","20","12:00","jenderal sudirman","ujung pandang","TL","R4","R2"
"Thursday","2018","9","23","15:00","poros perumnas sudiang","biringkanaya","TM","R2","NOV"
"Sunday","2018","9","23","3:30","pettarani","rappocini","TK","R2","R2"
"Sunday","2018","9","23","14:30","perintis kemerdekaan","tamalanrea","OC","R4","NOV"
"Sunday","2018","9","22","22:00","insinyur sutami","tamalanrea","TL","R4","R2"
"Saturday","2018","9","23","16:00","korban 40.000 jiwa","tallo","TL","R2","R2"
"Sunday","2018","9","24","6:30","pengayoman","panakkukang","TK","R2","R4"
"Monday","2018","9","21","7:30","rsi faisal","rappocini","TM","R2","NOV"
"Friday","2018","9","23","12:15","emmy saelan","rappocini","TL","R4","R2"
"Sunday","2018","9","24","5:20","cendrawasih","mamajang","TK","R2","R2"
"Monday","2018","9","24","12:00","tupai","mamajang","TK","R2","R4"
"Monday","2018","9","24","19:30","insinyur sutami","tamalanrea","TK","R4","R4"
"Monday","2018","9","25","14:00","andi mappaodang","tamalate","TL","R2","R2"
"Tuesday","2018","9","26","6:30","urip sumuharjo","panakkukang","TK","R4","R2"
"Wednesday","2018","9","26","10:00","rappocini raya","rappocini","TL","R2","NOV"
"Wednesday","2018","9","26","23:35","metro tanjung bunga","tamalate","TL","R2","R4"
"Wednesday","2018","9","26","21:00","monginsidi","ujung pandang","TK","R2","R2"
"Wednesday","2018","9","25","21:00","botolempangan","ujung pandang","TL","R4","R2"
"Tuesday","2018","9","27","7:00","perintis kemerdekaan","biringkanaya","TL","R2","R2"
"Thursday","2018","9","26","6:40","faisal","rappocini","TL","R4","R2"
"Wednesday","2018","9","25","15:37","andi mappaodang","tamalate","TL","R2","R2"
"Tuesday","2018","9","27","11:00","tamalate","rappocini","TL","R4","R4"
"Thursday","2018","9","27","11:00","pengayoman","panakkukang","TK","R2","R4"
"Thursday","2018","9","27","14:00","abu bakar lambogo","makassar","TL","R2","R2"
"Thursday","2018","9","28","12:35","sam ratulangi","mamajang","TK","R2","R4"
"Friday","2018","9","28","12:00","sam ratulangi","mamajang","TK","R2","R4"
"Friday","2018","9","29","8:30","cendrawasih","mariso","TK","R2","R2"
"Saturday","2018","9","27","14:00","lamuru","bontoala","TM","R2","NOV"
"Thursday","2018","9","27","17:30","sultan alauddin","rappocini","TL","R2","R2"
"Thursday","2018","9","28","19:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Friday","2018","9","30","15:15","aroepala","rappocini","OC","R2","NOV"
"Sunday","2018","10","1","13:30","onta lama","mamajang","TK","R2","R2"
"Monday","2018","10","1","5:30","goa ria","biringkanaya","TK","R2","R2"
"Monday","2018","9","29","13:30","perintis kemerdekaan","biringkanaya","TK","R2","R2"
"Saturday","2018","9","30","12:00","mutiara boulevard","biringkanaya","TM","R2","NOV"
"Sunday","2018","10","2","9:30","boulevard","panakkukang","TK","R2","R4"
"Tuesday","2018","10","2","9:00","haji bau","ujung pandang","TK","R2","R2"
"Tuesday","2018","10","2","7:45","abu bakar lambogo","makassar","TL","R2","R2"
"Tuesday","2018","10","3","11:00","insinyur sutami","biringkanaya","TB","TR","R2"
"Wednesday","2018","10","2","13:30","mapala","rappocini","TL","R4","R2"
"Tuesday","2018","10","2","16:00","perintis kemerdekaan","tamalanrea","TB","R2","R2"
"Tuesday","2018","10","3","10:30","perintis kemerdekaan","biringkanaya","TB","R4","R4"
"Wednesday","2018","9","20","18:45","datuk ribandang","tallo","TK","R2","R2"
"Thursday","2018","10","3","17:00","tinumbu","tallo","TL","R2","Rro"
"Wednesday","2018","10","6","12:00","asrama haji","biringkanaya","TB","R2","NOV"
"Saturday","2018","10","7","8:00","sultan alauddin","tamalate","TK","TR","R2"
"Sunday","2018","10","6","17:00","urip sumuharjo","panakkukang","TK","R2","R2"
"Saturday","2018","10","7","12:30","daeng tata raya","tamalate","TL","R4","R2"
"Sunday","2018","10","7","0:30","sultan hasanuddin","ujung pandang","TK","R2","R2"
"Sunday","2018","10","6","8:30","pongtiku","bontoala","TK","R2","R4"
"Saturday","2018","10","6","14:00","perintis kemerdekaan","biringkanaya","TK","R4","R2"
"Saturday","2018","10","8","12:29","metro tanjung bunga","mariso","TK","R2","R4"
"Monday","2018","10","5","7:20","tol reformasi","panakkukang","TL","R4","R4"
"Friday","2018","10","8","8:30","daeng regge","tallo","TK","R2","R2"
"Monday","2018","9","25","11:00","cendrawasih","mariso","TL","R2","R2"
"Tuesday","2018","10","9","7:55","perintis kemerdekaan","biringkanaya","TK","R2","M"
"Tuesday","2018","10","7","7:38","sam ratulangi","mariso","TK","R2","R2"
"Sunday","2018","10","8","13:00","andi mappaodang","tamalate","TL","R2","R2"
"Monday","2018","10","9","10:00","perintis kemerdekaan","tamalanrea","TL","R2","NOV"
"Tuesday","2018","10","9","15:00","pettarani","panakkukang","OC","R2","NOV"
"Tuesday","2018","10","9","18:00","manunggal","tamalate","TL","R2","NOV"
"Tuesday","2018","10","10","12:15","sungai calendu","ujung pandang","OC","R2","NOV"
"Wednesday","2018","10","10","9:30","tala' salapang","rappocini","TK","R2","R4"
"Wednesday","2018","11","10","12:00","metro tanjung bunga","tamalate","TK","R4","R3"
"Saturday","2018","9","29","21:00","metro tanjung bunga","tamalate","TM","R4","NOV"
"Saturday","2018","10","12","2:30","toddopuli","panakkukang","TL","R2","R2"
"Friday","2018","10","12","7:00","sultan alauddin","tamalate","TL","R2","R2"
"Friday","2018","10","13","3:00","andi mappaodang","tamalate","TL","R2","R2"
"Saturday","2018","10","13","5:30","jenderal sudirman","ujung pandang","OC","R2","NOV"
"Saturday","2018","10","14","6:00","daeng tata lama","tamalate","OC","R2","NOV"
"Sunday","2018","10","12","20:40","urip sumuharjo","makassar","TK","R4","R4"
"Friday","2018","10","14","13:00","galangan kapal","tallo","TL","R2","R2"
"Sunday","2018","10","14","6:30","cendrawasih","mamajang","TK","R2","R2"
"Sunday","2018","10","13","12:00","perintis kemerdekaan","tamalanrea","TK","R4","Rro"
"Saturday","2018","10","13","10:00","perintis kemerdekaan","tamalanrea","TK","R2","R2"
"Saturday","2018","10","12","16:30","insinyur sutami","tamalanrea","TK","R2","R4"
"Friday","2018","10","13","1:30","perintis kemerdekaan","biringkanaya","TB","R2","R4"
"Saturday","2018","10","15","10:00","urip sumuharjo","panakkukang","TL","R2","R2"
"Monday","2018","10","14","14:30","insinyur sutami iii","biringkanaya","TK","TR","R4"
"Sunday","2018","10","15","7:30","urip sumuharjo","panakkukang","TK","R2","R4"
"Monday","2018","10","10","17:05","sunu","bontoala","TL","R2","R2"
"Wednesday","2018","10","14","22:00","sultan hasanuddin","ujung pandang","TK","R2","R2"
"Sunday","2018","10","16","17:30","kapasa raya","biringkanaya","TL","R2","R2"
"Tuesday","2018","10","16","17:00","nuri baru","mariso","TK","R2","R2"
"Tuesday","2018","10","14","18:15","cendrawasih","mamajang","TL","R4","R2"
"Sunday","2018","10","15","14:10","metro tanjung bunga","mariso","TL","R4","R4"
"Monday","2018","10","17","1:30","kenanga","mariso","TK","R2","R4"
"Wednesday","2018","10","8","0:00","veteran utara","makassar","OC","R2","NOV"
"Monday","2018","10","15","0:30","ir. haji juanda","tallo","TL","R2","R2"
"Monday","2018","10","17","15:45","pettarani","panakkukang","TL","R2","R2"
"Wednesday","2018","10","12","8:30","sanrangan","biringkanaya","TB","R2","R2"
"Friday","2018","10","17","21:30","jenderal sudirman","ujung pandang","TK","R4","R2"
"Wednesday","2018","10","13","2:00","veteran utara","makassar","TL","R2","R2"
"Saturday","2018","10","18","14:30","gunung latimojong","makassar","TL","R4","R2"
"Thursday","2018","10","18","2:30","urip sumuharjo","panakkukang","TM","R2","NOV"
"Thursday","2018","10","19","7:30","andi djemma","rappocini","TL","R4","R2"
"Friday","2018","10","20","12:30","veteran utara","makassar","TL","M","R2"
"Saturday","2018","10","18","15:30","veteran utara","makassar","TK","R2","R2"
"Thursday","2018","10","21","14:30","goa ria","biringkanaya","TK","R2","R2"
"Sunday","2018","10","20","14:00","urip sumuharjo","panakkukang","TK","R2","R2"
"Saturday","2018","10","21","20:15","andi mappaodang","tamalate","TL","R2","R2"
"Sunday","2018","10","22","11:00","urip sumuharjo","panakkukang","OC","R2","NOV"
"Monday","2018","10","22","7:00","perintis kemerdekaan","tamalanrea","TL","R2","TR"
"Monday","2018","10","23","10:00","urip sumuharjo","panakkukang","TK","R2","R3"
"Tuesday","2018","10","15","17:30","antang raya","manggala","T","R2","NOV"
"Monday","2018","10","13","17:00","penghibur","ujung pandang","T","R2","NOV"
"Saturday","2018","10","24","17:30","adyaksa baru","panakkukang","TL","R4","R4"
